player_id,completed_passes,attempted_passes,passing_yards,passing_touchdowns,interceptions_thrown,times_sacked,yards_lost_from_sacks,longest_pass,quarterback_rating,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,interceptions,yards_returned_from_interception,interceptions_returned_for_touchdown,longest_interception_return,passes_defended,sacks,combined_tackles,solo_tackles,assists_on_tackles,tackles_for_loss,quarterback_hits,fumbles_recovered,yards_recovered_from_fumble,fumbles_recovered_for_touchdown,fumbles_forced,kickoff_returns,kickoff_return_yards,average_kickoff_return_yards,kickoff_return_touchdown,longest_kickoff_return,punt_returns,punt_return_yards,yards_per_punt_return,punt_return_touchdown,longest_punt_return,extra_points_made,extra_points_attempted,field_goals_made,field_goals_attempted,punts,total_punt_yards,yards_per_punt,longest_punt
Mac Jones,29,39,281,1,0,1,13,26,102.6,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Harris,0,0,0,0,0,0,0,0,,23,100,0,35,3,2,17,0,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James White,0,0,0,0,0,0,0,0,,4,12,0,10,7,6,49,0,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,0,0,0,0,0,0,0,0,,1,6,0,6,5,5,42,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
Brandon Bolden,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,23,23,0,23,0,0,,0,0,,,,,,,,
Rhamondre Stevenson,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,9,0,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Agholor,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,72,1,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,44,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
